,Close/Last,10to50SMA,10to50EMA,MACDSIG,MACDSIGchanged,normMACDSIGindicator,RSIindicator,RSIdifIndicator,ATRindicator,BBWClsPctDifIndicator,normOBVSMAindicator,buyingPressureIndicator,isPeakIndicator
0,402.3999938964844,-1,-1,-1,,0,0,0,1,0,-1,-1,0
1,404.1799926757813,-1,1,1,2.0,0,0,0,1,0,1,1,0
2,405.7999877929688,-1,1,1,0.0,0,0,0,1,0,1,1,0
3,426.6000061035156,-1,1,1,0.0,0,0,0,1,0,1,1,0
4,423.7799987792969,-1,1,1,0.0,0,0,0,1,0,1,1,1
5,425.1099853515625,-1,1,1,0.0,0,0,0,1,0,1,1,0
6,420.6400146484375,-1,1,1,0.0,0,0,0,1,0,1,1,0
7,423.0400085449219,-1,1,1,0.0,0,0,0,1,0,1,1,0
8,419.8699951171875,-1,1,1,0.0,0,0,0,1,0,1,1,0
9,413.8399963378906,-1,1,1,0.0,0,0,0,1,0,1,1,0
10,418.4400024414063,-1,1,1,0.0,0,0,0,1,0,1,1,0
11,412.510009765625,-1,1,1,0.0,0,0,0,1,0,1,1,0
12,413.0400085449219,-1,1,-1,-2.0,0,0,0,1,0,1,1,0
13,428.9500122070313,-1,1,1,2.0,0,0,0,1,0,1,1,0
14,422.1300048828125,-1,1,1,0.0,0,2,0,0,0,1,1,1
15,426.8699951171875,-1,1,1,0.0,0,2,0,0,0,1,1,0
16,422.8399963378906,-1,1,1,0.0,0,2,0,0,0,1,1,0
17,424.5499877929688,-1,1,1,0.0,0,0,0,0,0,1,1,0
18,425.1600036621094,-1,1,1,0.0,0,1,0,0,0,1,1,0
19,429.3800048828125,-1,1,1,0.0,0,1,0,0,2,1,1,0
20,451.7699890136719,-1,1,1,0.0,0,2,1,0,2,1,1,0
21,467.7999877929688,-1,1,1,0.0,0,2,1,0,2,1,1,0
22,472.1099853515625,-1,1,1,0.0,0,2,1,0,2,1,1,0
23,486.0199890136719,-1,1,1,0.0,1,2,1,0,2,1,1,0
24,488.8699951171875,-1,1,1,0.0,1,2,0,0,2,1,1,1
25,478.3200073242188,-1,1,1,0.0,1,2,0,0,2,1,1,0
26,473.739990234375,-1,1,1,0.0,0,2,0,0,2,1,1,0
27,453.989990234375,-1,1,1,0.0,0,2,0,0,0,1,1,0
28,448.3800048828125,-1,1,1,0.0,0,2,0,0,0,1,1,0
29,454.5,-1,1,-1,-2.0,0,2,0,0,0,1,1,0
30,459.7799987792969,-1,1,-1,0.0,0,2,1,0,0,1,1,1
31,451.4800109863281,-1,1,-1,0.0,0,2,0,1,0,1,1,0
32,441.1799926757813,-1,1,-1,0.0,0,1,0,1,0,1,1,0
33,438.2699890136719,-1,1,-1,0.0,0,1,0,1,0,-1,1,0
34,440.2300109863281,-1,1,-1,0.0,0,0,0,1,0,-1,1,0
35,441.6499938964844,-1,1,-1,0.0,0,-1,0,0,0,1,1,0
36,453.1900024414063,-1,1,-1,0.0,0,0,1,0,0,1,1,0
37,455.0400085449219,-1,1,-1,0.0,0,-1,0,0,0,1,1,0
38,461.3900146484375,-1,1,-1,0.0,0,-1,0,0,0,1,1,1
39,456.9800109863281,-1,1,-1,0.0,0,-1,0,0,0,1,1,0
40,455.0700073242188,-1,1,-1,0.0,0,-1,0,0,0,1,1,0
41,453.8900146484375,-1,1,-1,0.0,0,0,1,0,0,1,1,0
42,457.4200134277344,-1,1,-1,0.0,0,1,1,0,0,1,1,1
43,447.5199890136719,-1,1,-1,0.0,0,0,0,0,0,-1,1,0
44,452.4200134277344,-1,1,-1,0.0,0,0,0,0,0,1,1,0
45,463.2200012207031,-1,1,-1,0.0,0,1,1,0,2,1,1,0
46,472.6300048828125,-1,1,1,2.0,0,2,1,0,2,1,1,0
47,480.0799865722656,-1,1,1,0.0,0,2,1,0,2,1,1,0
48,480.0899963378906,-1,1,1,0.0,0,2,0,0,2,1,1,1
49,473.4800109863281,1,1,1,0.0,0,2,0,0,2,1,1,0
50,466.3399963378906,1,1,1,0.0,0,1,0,0,0,1,1,0
51,469.7000122070313,1,1,1,0.0,0,1,0,0,0,1,1,0
52,457.4599914550781,1,1,-1,-2.0,0,0,0,0,0,1,1,0
53,471.1600036621094,1,1,-1,0.0,0,1,1,0,0,1,1,0
54,474.1700134277344,1,1,-1,0.0,0,2,0,0,2,1,1,1
55,465.5,1,1,-1,0.0,0,1,0,0,0,1,1,0
56,470.010009765625,1,1,-1,0.0,0,1,0,0,0,1,1,0
57,468.6199951171875,1,1,-1,0.0,0,2,1,0,0,1,1,0
58,481.2900085449219,1,1,1,2.0,0,2,0,0,2,1,1,0
59,477.55999755859375,1,1,1,0.0,0,1,0,0,2,1,1,1
60,479.3999938964844,1,1,1,0.0,0,1,0,0,2,1,1,0
61,477.4599914550781,1,1,1,0.0,0,0,0,0,0,1,1,0
62,491.4299926757813,1,1,1,0.0,0,1,1,0,2,1,1,0
63,489.010009765625,1,1,1,0.0,0,1,0,0,2,1,1,0
64,496.739990234375,1,1,1,0.0,0,2,1,0,2,1,1,0
65,504.1499938964844,1,1,1,0.0,0,2,0,0,2,1,1,0
66,512.77001953125,1,1,1,0.0,0,2,1,0,2,1,1,0
67,516.0,1,1,1,0.0,0,2,0,0,2,1,1,1
68,513.8800048828125,1,1,1,0.0,0,2,0,0,2,1,1,0
69,506.6300048828125,1,1,1,0.0,0,2,0,0,2,1,1,0
70,515.3699951171875,1,1,1,0.0,0,2,0,0,2,1,1,0
71,512.1199951171875,1,1,1,0.0,0,2,0,0,2,1,1,1
72,512.5599975585938,1,1,1,0.0,0,2,0,0,2,1,1,0
73,513.8099975585938,1,1,1,0.0,0,2,1,0,2,1,1,0
74,508.8999938964844,1,1,1,0.0,0,2,0,0,0,1,1,0
75,514.219970703125,1,1,-1,-2.0,0,2,1,0,0,1,1,0
76,518.6199951171875,1,1,-1,0.0,0,2,0,0,2,1,1,0
77,539.4000244140625,1,1,1,2.0,0,2,1,0,2,1,1,0
78,526.0900268554688,1,1,1,0.0,0,2,0,0,2,1,1,1
79,526.0900268554688,1,1,1,0.0,0,2,0,0,2,1,1,0
80,512.3200073242188,1,1,-1,-2.0,0,0,0,0,0,1,1,0
81,501.1000061035156,1,1,-1,0.0,0,0,0,0,0,-1,1,0
82,492.2900085449219,1,1,-1,0.0,0,-1,0,0,1,-1,1,0
83,499.05999755859375,1,1,-1,0.0,0,0,1,0,1,-1,1,0
84,501.760009765625,1,1,-1,0.0,0,0,0,0,1,1,1,0
85,512.8900146484375,1,1,-1,0.0,0,1,1,0,0,1,1,0
86,527.969970703125,1,1,-1,0.0,0,1,1,0,2,1,1,0
87,522.280029296875,1,1,-1,0.0,0,1,0,0,0,1,1,1
88,520.7100219726562,1,1,-1,0.0,0,1,0,0,0,-1,1,0
89,521.0499877929688,1,1,-1,0.0,0,1,0,0,0,1,1,0
90,516.5900268554688,1,1,-1,0.0,0,0,0,0,0,-1,1,0
91,519.239990234375,1,1,-1,0.0,0,-1,0,0,0,1,1,0
92,520.6300048828125,1,1,-1,0.0,0,0,1,0,0,1,1,1
93,504.9700012207031,1,1,-1,0.0,0,-1,0,0,0,1,1,0
94,510.1300048828125,1,1,-1,0.0,0,0,1,0,0,1,1,0
95,506.510009765625,1,1,-1,0.0,0,1,1,0,0,1,1,0
96,511.0799865722656,1,1,-1,0.0,0,2,1,0,0,1,1,0
97,512.239990234375,1,1,-1,0.0,0,1,0,0,0,1,1,0
98,517.6099853515625,1,1,-1,0.0,0,2,0,0,0,1,1,1
99,509.2999877929688,1,1,-1,0.0,0,0,0,0,0,1,1,0
100,509.0299987792969,1,1,-1,0.0,0,-1,0,0,0,1,1,0
101,526.010009765625,1,1,-1,0.0,0,1,1,0,2,1,1,0
102,536.2100219726562,1,1,1,2.0,0,1,1,0,2,1,1,0
103,542.9000244140625,1,1,1,0.0,0,2,0,0,2,1,1,0
104,543.3800048828125,1,1,1,0.0,0,2,1,0,2,1,1,0
105,551.530029296875,1,1,1,0.0,0,2,0,0,2,1,1,0
106,551.97998046875,1,1,1,0.0,0,2,0,0,2,1,1,0
107,561.1699829101562,1,1,1,0.0,0,2,1,0,2,1,1,0
108,560.0,1,1,1,0.0,0,2,0,0,2,1,1,1
109,556.530029296875,1,1,1,0.0,0,2,0,0,2,1,1,0
110,556.6099853515625,1,1,1,0.0,0,2,0,0,2,1,1,0
111,541.8499755859375,1,1,1,0.0,0,2,0,0,0,1,1,0
112,540.030029296875,1,1,1,0.0,0,2,0,0,0,1,1,0
113,552.4500122070312,1,1,1,0.0,0,2,1,0,0,1,1,0
114,546.27001953125,1,1,-1,-2.0,0,2,0,0,0,1,1,1
115,547.0999755859375,1,1,-1,0.0,0,2,0,0,0,1,1,0
